es_ID,paper_ID,cohort_ID,species_ID,species_common,species_latin,taxa,sex,n,k,est,R,fixed_yn,fixed_var,method,annual_event,location,country,long,lat,tag_period,notes,data_location,data_presentation,title,pub_year,authors,journal,DOI,Papers for Data Extraction::fulltext_ID
es055,p020,c033,s035,Desertas petrel,Pterodroma deserta,Seabird,B,7,1.7,ICC,0.92,N,NA,GLS,Arrival_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es056,p020,c034,s035,Desertas petrel,Pterodroma deserta,Seabird,B,4,2,ICC,0.95,N,NA,GLS,Arrival_breed,"Bugio Island, Madeira",Europe,-16.48,32.43,Breeding,,"Table 2, p. 146",text,Conservation implications of consistent foraging and trophic ecology in a rare petrel species,2016,"Ramirez, I. and Paiva, V. H. and Fagundes, I. and Menezes, D. and Silva, I. and Ceia, F. R. and Phillips, R. A. and Ramos, J. A. and Garthe, S.",Animal Conservation,10.1111/acv.12227,ft025
es057,p021,c035,s030,Dusky warbler,Phylloscopus fuscatus,Landbird,M,12,2,ICC,0.34,N,NA,Conventional,Arrival_breed,"Malkachan river, Russian Far East",Europe,154.23,59.85,Breeding,,"p. 6, text, results",text,Benefits of early arrival at breeding grounds vary between males,2002,"Forstmeier, W.",Journal of Animal Ecology,10.1046/j.0021-8790.2001.00569.x,ft018
es058,p022,c036,s043,Eastern kingbird,Tyrannus tyrannus,Landbird,M,30,2.5,ICC,0.05,N,NA,Conventional,Arrival_breed,"Malheur National Wildlife Refuge, Oregon",North America,-118.9,42.816,Breeding,,"p. 38, text, results",text,Age- and sex-dependent spring arrival dates of Eastern Kingbirds,2009,"Cooper, N. W. and Murphy, M. T. and Redmond, L. J.",Journal of Field Ornithology,10.1111/j.1557-9263.2009.00203.x,ft006
es059,p022,c037,s043,Eastern kingbird,Tyrannus tyrannus,Landbird,M,20,2.3,ICC,0.05,N,NA,Conventional,Arrival_breed,"Malheur National Wildlife Refuge, Oregon",North America,-118.9,42.816,Breeding,,"p. 38, text, results",text,Age- and sex-dependent spring arrival dates of Eastern Kingbirds,2009,"Cooper, N. W. and Murphy, M. T. and Redmond, L. J.",Journal of Field Ornithology,10.1111/j.1557-9263.2009.00203.x,ft006
es060,p022,c038,s043,Eastern kingbird,Tyrannus tyrannus,Landbird,F,26,2.3,ICC,0.23,N,NA,Conventional,Arrival_breed,"Malheur National Wildlife Refuge, Oregon",North America,-118.9,42.816,Breeding,,"p. 38, text, results",text,Age- and sex-dependent spring arrival dates of Eastern Kingbirds,2009,"Cooper, N. W. and Murphy, M. T. and Redmond, L. J.",Journal of Field Ornithology,10.1111/j.1557-9263.2009.00203.x,ft006
es061,p022,c039,s043,Eastern kingbird,Tyrannus tyrannus,Landbird,F,19,2.4,ICC,0.39,N,NA,Conventional,Arrival_breed,"Malheur National Wildlife Refuge, Oregon",North America,-118.9,42.816,Breeding,,"p. 38, text, results",text,Age- and sex-dependent spring arrival dates of Eastern Kingbirds,2009,"Cooper, N. W. and Murphy, M. T. and Redmond, L. J.",Journal of Field Ornithology,10.1111/j.1557-9263.2009.00203.x,ft006
es062,p023,c040,s026,Egyptian vulture,Neophron percnopterus,Landbird,B,6,3.8,ICC,0.434,N,NA,Satellite,Nonbreed_depart,Castellón and Guadalajara provinces (Spain),Europe,-1.443056,40.432837,Breeding,,"Table 2, p. 647",text,Individual repeatability in timing and spatial flexibility of migration routes of trans-Saharan migratory raptors,2014,"Lopez-Lopez, P. and Garcia-Ripolles, C. and Urios, V.",Current Zoology,10.1093/czoolo/60.5.642,ft075
es063,p023,c040,s026,Egyptian vulture,Neophron percnopterus,Landbird,B,6,3.8,ICC,0.563,N,NA,Satellite,Arrival_breed,Castellón and Guadalajara provinces (Spain),Europe,-1.443056,40.432837,Breeding,,"Table 2, p. 647",text,Individual repeatability in timing and spatial flexibility of migration routes of trans-Saharan migratory raptors,2014,"Lopez-Lopez, P. and Garcia-Ripolles, C. and Urios, V.",Current Zoology,10.1093/czoolo/60.5.642,ft075
es064,p023,c040,s026,Egyptian vulture,Neophron percnopterus,Landbird,B,6,4.2,ICC,0.704,N,NA,Satellite,Nonbreed_arrival,Castellón and Guadalajara provinces (Spain),Europe,-1.443056,40.432837,Breeding,,"Table 2, p. 647",text,Individual repeatability in timing and spatial flexibility of migration routes of trans-Saharan migratory raptors,2014,"Lopez-Lopez, P. and Garcia-Ripolles, C. and Urios, V.",Current Zoology,10.1093/czoolo/60.5.642,ft075
